[Scenario]
Stretch
6
3
15 25
E X E E E E E 0 E E E E E X E 
X B X E E E 0 0 0 E E E X B X 
X X X E X X E X E X X E X X X 
X X E X X X E X E X X X E X X 
X X E E X E X X X E X E E X X 
X X E 2 E X X X X X E 4 E X X 
X X E 2 2 E E X E E 4 4 E X X 
X X E E 2 E X X X E 4 E E X X 
X X X X E E X X X E E X X X X 
X X X X X X E X E X X X X X X 
X X E E X X E X E X X E E X X 
X X X E X X E X E X X E X X X 
X B X E X B X X X B X E X B X 
X X X E X X X X X X X E X X X 
X X X E X X E X E X X E X X X 
X X E X X X E X E X X X E X X 
X X X X X E E X E E X X X X X 
X X X E E E X X X E E E X X X 
X X E 5 5 E X X X E 3 3 E X X 
X X E 5 5 X E X E X 3 3 E X X 
X X E E E E X X X E E E E X X 
X X E X X X X X X X X X E X X 
X X E E X X E X E X X E E X X 
X B X E X E E 1 E E X E X B X 
X X X E E E 1 1 1 E E E X X X 
