[Scenario]
Cramped
6
3
18 18
E E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E X E E E E E E 
E E E E E E E E E E X B X E E E E E 
E E E X X X E X X X X X X E E E E E 
E E E X B X 0 X B X 1 1 1 X E E E E 
E E E E X 0 0 X X X X X X B X E E E 
E E E X X X X B X X B X X X X X X X 
E E E X B X X X X X X X X X 2 X B X 
E E E 5 X X X X X B X X B X 2 2 X E 
E X X X 5 X B X X X X X X X X X E E 
E X B X 5 X X X X X X B X X B X E E 
E E X E X B X X B X X X X 3 X E E E 
E E E E X X X 4 X X X X 3 X X X E E 
E E E E E E 4 X 4 X B X 3 X B X E E 
E E E E E E X B X E X E E E X E E E 
E E E E E E X X X E E E E E E E E E 
E E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E E E E E E E E 
