[Scenario]
Two Sides
4
3
25 15
E 0 0 0 0 X X X X X E E E E E X X X X X 1 1 1 1 E 
0 0 0 X X X X X X X E E E E E X X X X X X X 1 1 1 
0 X X X X X X B X X E E E E E X X B X X X X X X 1 
X X X X X X X X X X X X E X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X X X X X X 
X X X X X X X E E X X X X X X X E E X X X X X X X 
E E X X X X X E E X X X X X X X E E X X X X X E E 
E E X X B X X E E X X X B X X X E E X X B X X E E 
E X X X X X X E E X X X X X X X E E X X X X X X E 
X X X X X X X X E X X X X X X X E X X X X X X X X 
X X X X X X X X X X X X X X X X X X X X X X X X X 
X X X X X X X B X X X E E E X X X B X X X X X X X 
2 2 X X X X X X X X E E E E E X X X X X X X X 3 3 
2 2 2 2 X X X X X X E E E E E X X X X X X 3 3 3 3 
E E 2 E 2 E X E X E E E E E E E X E X E 3 E 3 E E 
