[Scenario]
Finale
3
3
19 19
E E E E E E E E E X E E E E E E E E E 
E E E E E E E X X B X X E E E E E E E 
E E E E E E E X X X X X E E E E E E E 
E E E 0 E E E X X X X X E E E 2 E E E 
E X 0 0 E E E X X X X X E E E 2 2 X E 
X B X 0 E E E X X X X X E E E 2 X B X 
X X X 0 X X E E X X X E E X X 2 X X X 
0 0 0 X X X X E E X E E X X X X 2 2 2 
0 E E E X X X X X X X X X X X E E E 2 
E E E E E E E X X B X X E E E E E E E 
E E E X X X E X X X X X E X X X E E E 
E X X X X X X E X X X E X X X X X X E 
X X X X X X X E E X E E X X X X X X X 
X B X X X X X E X X X E X X X X X B X 
X X X X X E E E X X X E E E X X X X X 
E E X E E E E E X 1 X E E E E E X E E 
E E E E E E E 1 1 X 1 1 E E E E E E E 
E E E E E E 1 1 X B X 1 1 E E E E E E 
E E E E E E E E X X X E E E E E E E E 
