[Scenario]
Forest
4
3
21 21
E 0 E X E X E X E X E X E X E X E X E 3 E 
0 0 0 X X E E E X X X X X E E E X X 3 3 3 
0 0 0 X X E E E X X B X X E E E X X 3 3 3 
X X X X X X E X X X X X X X E X X X X X X 
X E X X 2 X X X X E E E X X X X 1 X X E X 
E E E X X X X X X E E E X X X X X X E E E 
E E E X X X X X X X E X X X X X X X E E E 
X X X X X E X X B X X X B X X E X X X X X 
X B X X E E E X X E E E X X E E E X X B X 
X X X X E E E X X E E E X X E E E X X X X 
X X X X X X X B X X E X X B X X X X X X X 
X X X X X E X X X E E E X X X E X X X X X 
X B X X E E E X X E E E X X E E E X X B X 
X X X X E E E X X X E X X X E E E X X X X 
X E X X X X X X B X X X B X X X X X X E X 
E E E X X X X X X E E E X X X X X X E E E 
E E E X X X X X X E E E X X X X X X E E E 
X X X X 3 X X X X X E X X X X X 0 X X X X 
X 1 X X X E E E X X X X X E E E X X X 2 X 
1 1 1 X X E E E X X B X X E E E X X 2 2 2 
1 1 1 X X X E X X X X X X X E X X X 2 2 2 
