[Scenario]
Tight Squeeze
4
3
21 16
E E E X E X E X E E E E E X E X E X E E E 
3 3 E E X X X B X X X X X B X X X E E 0 0 
E E 3 3 E E X X X E X E X X X E E 0 0 E E 
X X E E X X E E E X X X E E E X X E E X X 
X B X X E E X X E E X E E X X E E X X B X 
X X X E E X E E X X X X X E E X E E X X X 
X E E X E X X X E X E X E X X X E X E E X 
X X X X E X E X E X E X E X E X E X X X X 
E X E X X X E X X X E X X X E X X X E X E 
X E X X E X E X E X E X E X E X E X X E X 
X X E E E X X E E X E X E E X X E E E X X 
X B X X E E E X X E X E X X E E E X X B X 
X X X E E X X E E X X X E E X X E E X X X 
X E E 1 X E E X E E X E E X E E X 2 E E X 
E 1 1 E E X X B X X X X X B X X E E 2 2 E 
1 E E X X X X X X E X E X X X X X X E E 2 
