[Scenario]
Choke Point
3
3
18 18
E E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E E E E E E E E 
E E E E E E E X X X E E E E E E E E 
E E E E E X 0 X B X 0 X E E E E E E 
E E E X X X E E X E E X X X E E E E 
E E X X B X X 0 E 0 X X B X X E E E 
E X E E X E E X 0 X E E X E E X E E 
E X X X E E X X X X X E E X X X E E 
E X B X E X E E X E E X E X B X E E 
E X X X E X X X X X X X E X X X E E 
E 1 E E 1 1 X X E X X 2 2 E E 2 E E 
E X X X E 1 X X E X X 2 E X X X E E 
E X B X E X E E E E E X E X B X E E 
E E X 1 E X X X E X X X E 2 X E E E 
E E E E X X B X E X B X X E E E E E 
E E E E E E X X E X X E E E E E E E 
E E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E E E E E E E E 
