[Scenario]
Super Snowflake
6
6
35 35
E E E E E E E E E E E E E E E E E 0 E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E E E E E 0 0 X 0 0 E E E E E E E E E E E E E E E 
E E E E E E E E E E E E E X 0 X X X X X 0 X E E E E E E E E E E E E E 
E E E E E E E E E E E X X X X X X X X X X X X X E E E E E E E E E E E 
E E E E E E E E E E E X X X X X X B X X X X X X E E E E E E E E E E E 
E E E E E E E E E E E X X X X X X X X X X X X X E E E E E E E E E E E 
E E E E E X X X E E E E X X X X X E X X X X X E E E E X X X E E E E E 
E E E 2 X X X X X E E E X X X E E E E E X X X E E E X X X X X 4 E E E 
E 2 2 X X X X X X X E E E X X X E E E X X X E E E X X X X X X X 4 4 E 
2 X X X X X X X X X E E E X X X X E X X X X E E E X X X X X X X X X 4 
2 X X X X X X X X X X X E X X B X E X B X X E X X X X X X X X X X X 4 
2 X X X B X X E E X X X X X X X X E X X X X X X X X E E X X B X X X 4 
2 X X X X X E E E X X B X X X X E E E X X X X B X X E E E X X X X X 4 
X X X X X X E E E E X X X X X X E E E X X X X X X E E E E X X X X X X 
X X X X X X E X X X E E E E X X X E X X X E E E E X X X E X X X X X X 
X X X X X X X X X B X E E E X 5 5 E 2 2 X E E E X B X X X X X X X X X 
E E X E X E X X X X X X E X E E X E X E E X E X X X X X X E X E X E E 
E E E E E E E E X X X X X X 1 X E E E X 0 X X X X X X E E E E E E E E 
E E E E E E E X X X X X X X 1 E E E E E 0 X X X X X X X E E E E E E E 
E X X X X X X X X B X E E E E 3 X E X 4 E E E E X B X X X X X X X X E 
X X X X X X X X X X X E E E X X 3 E 4 X X E E E X X X X X X X X X X X 
X X X X X X E E X E E X E X X X X E X X X X E X E E X E E X X X X X X 
X X X X X X E E E X X B X X X X E E E X X X X B X X E E E X X X X X X 
5 X X X X X E E E X X X X X X X E E E X X X X X X X E E E X X X X X 3 
5 X X X B X X X E X X X X X X B X E X B X X X X X X E X X X B X X X 3 
5 X X X X X X X X X X E E X X X X E X X X X E E X X X X X X X X X X 3 
5 5 X X X X X X X X E E E X X X X E X X X X E E E X X X X X X X X 3 3 
E E 5 5 X X X X X E E E E X X E E E E E X X E E E E X X X X X 3 3 E E 
E E E E X X X X X E E E X X X X E E E X X X X E E E X X X X X E E E E 
E E E E E E X E E E E X X X X X X X X X X X X X E E E E X E E E E E E 
E E E E E E E E E E E X X X X X X B X X X X X X E E E E E E E E E E E 
E E E E E E E E E E E X X X X X X X X X X X X X E E E E E E E E E E E 
E E E E E E E E E E E E X X X X X X X X X X X E E E E E E E E E E E E 
E E E E E E E E E E E E E E 1 1 X X X 1 1 E E E E E E E E E E E E E E 
E E E E E E E E E E E E E E E E 1 1 1 E E E E E E E E E E E E E E E E 
