[Scenario]
Priorities
2
5
13 24
E X E E E X E E E X E E E 
X B X E X B X E X B X E E 
X X X X X X X X X X X X E 
E X X B X E X B X E X B X 
X E X X X E X X X E X X X 
X X E E E E E E E E E E E 
X X X X X X X X X X X X X 
E E X X X X X X X X X X X 
0 X E E E E E E E E E X X 
0 X X X X X X X X X X X X 
0 X X X X X B X X E X E E 
0 X X B X X X X E X E X 1 
0 X X X X X X X X B X X 1 
0 E E E E X X X X X X X 1 
E X X X X X B X X X X X 1 
X X X E X E X E X E X X 1 
X X E X E X E X E X E E 1 
X X X X X X X X X X X X E 
X E X E X E X E X E X X X 
E X E E E X E E E X E E X 
X B X E X B X E X B X X X 
X X X X X X X X X X X X E 
E E X B X E X B X E X B X 
E E X X X E X X X E X X X 
