[Scenario]
Intersections
4
3
27 27
E 0 E E E E E E E E E E E X E E E E E E E E E E E 1 E 
0 0 0 X E E E E E E E E X B X E E E E E E E E X 1 1 1 
0 0 0 X X X E E E E E E X X X E E E E E E X X X 1 1 1 
E E X X X X X X E E E E X X X E E E E X X X X X X E E 
E E E E X X X X E E E E X X X E E E E X X X X E E E E 
E E E E E X X X X X X X X X X X X X X X X X E E E E E 
E E E E E X B X X X X X X X X X X X X X B X E E E E E 
E E E E E X X X X E X E X X X E X E X X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E X E X E X X X E X E X X X X X E X E X X X E X E X E 
X B X X X X X X X X X X X B X X X X X X X X X X X B X 
X X X X X X X X X X X X X X X X X X X X X X X X X X X 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E E E X X X E X E X X X X X E X E X X X E E E E E 
E E E E E X X X X X X X X X X X X X X X X X E E E E E 
E E E E E X B X X X X X X X X X X X X X B X E E E E E 
E E E E E X X X E E E E X X X E E E E X X X E E E E E 
E E E X X X X X E E E E X X X E E E E X X X X X E E E 
E 3 X X X X X E E E E E X X X E E E E E X X X X X 2 E 
3 3 3 X X E E E E E E E X B X E E E E E E E X X 2 2 2 
3 3 3 E E E E E E E E E X X X E E E E E E E E E 2 2 2 
