[Scenario]
Inside or Outside
6
3
25 25
E E E E E E E E E E E E E E E E E E E E E E E E E 
E E E E E E E E E E E 1 1 1 E E E E E E E E E E E 
E E E E E E E E E X E E 1 E E X E E E E E E E E E 
E E E E E E E E X B X E X E X B X E E E E E E E E 
E E E E E E E E X X X X X X X X X E E E E E E E E 
E E E E E E E E E E E X B X E E E E E E E E E E E 
E E E E E E E E 0 0 X E X E X 2 2 E E E E E E E E 
E E E E E X E E 0 0 E X X X E 2 2 E E X E E E E E 
E E E X X X X X E E E X B X E E E X X X X X E E E 
E X X B X X X B X X E E X E E X X B X X X B X X E 
X X X X X X X X X X X X X X X X X X X X X X X X X 
X X X X E 2 X X X X X X X X X X X X X 4 E X X X X 
X B X X 0 X 2 E X B X X E X X B X E 4 X 5 X X B X 
X X X X 0 1 1 X X X X X E X X X X X 3 3 5 X X X X 
X X X X E X X X X X X X X X X X X X X X E X X X X 
X X X B X X X B X X X E X E X X X B X X X B X X X 
E E X X X X X X X E E X X X E E X X X X X X X E E 
E E E E X X X E E 3 E X B X E 5 E E X X X E E E E 
E E E E E E E E 3 3 E E X E E 5 5 E E E E E E E E 
E E E E E E E E 3 E X X X X X E 5 E E E E E E E E 
E E E E E E E E E X E X B X E X E E E E E E E E E 
E E E E E E E E X B X E X E X B X E E E E E E E E 
E E E E E E E E X X X E X E X X X E E E E E E E E 
E E E E E E E E E E E 4 4 4 E E E E E E E E E E E 
E E E E E E E E E E E E 4 E E E E E E E E E E E E 
